"advertiser_id","advertiser_name","advertisers_with_eligible_prices","arrival","best_price_amount","best_price_currency","best_price_eurocents","cheapest_price","city","construction_year","country","departure","distance_info","forecasted_price_amount","forecasted_price_eurocents","has_special_offer","highlights","hotel_category","hotel_id","hotel_name","latitude","longitude","review_count","star_rating","user_rating"
,,"21","2026-09-19",,,,,"London","1865",,"2026-09-20","1.0 miles to Trafalgar Square","370","43056",,"Chuan Body + Soul sanctuary, Signature Langham Pink details",,"100/46304","The Langham, London","51.517799377441406","-0.14398999512195587","8931","5","9.4"
,,"5","2026-09-19",,,,,"London",,,"2026-09-20","0.4 miles to Buckingham Palace","184","21393",,"St. James residential luxury, Tranquil private courtyard garden",,"100/2045265","Arlington House Apartments","51.50653839111328","-0.1410199999809265","2297","4","8.5"
,,"0","2026-09-19",,,,,"London",,,"2026-09-20","1.1 miles to Trafalgar Square",,,,"Refurbished spartan guest rooms, Proximity to the British Museum",,"100/1251752","LSE Carr-Saunders Hall","51.52212142944336","-0.13835999369621277","4387","2","8.1"
,,"2","2026-09-19",,,,,"London",,,"2026-09-20","0.7 miles to City centre","89","10330",,"Sleep-focused windowless concept, High-tech 24-hour fitness studio",,"100/42687276","Zedwell Piccadilly Circus","51.51681900024414","-0.1266999989748001","51742","1","7.9"
,,"23","2026-09-19",,,,,"London","1909",,"2026-09-20","0.4 miles to Trafalgar Square","97","11340",,"Modern British dining at Haxells, Well-appointed basement fitness studio",,"100/12695","Strand Palace","51.51089096069336","-0.12083999812602997","39179","4","8.7"
,,"0","2026-09-19",,,,,"London",,,"2026-09-20","0.5 miles to Trafalgar Square",,,,"Skyline view apartment options, Seasonal university residence experience",,"100/1251756","LSE High Holborn","51.5159912109375","-0.12475000321865082","2919","2","8.1"
,,"20","2026-09-19",,,,,"London",,,"2026-09-20","0.3 miles to City centre","59","6856",,"Minimalist soundproofed design, On-site fitness center",,"100/17949268","Zedwell Piccadilly Circus","51.5105094909668","-0.13346000015735626","57111","3","7.8"
,,"19","2026-09-19",,,,,"London","1906",,"2026-09-20","0.5 miles to Buckingham Palace","908","105736",,"Michelin-starred Ritz Restaurant, Louis XVI style period interiors",,"100/13968","The Ritz London","51.507080078125","-0.14162999391555786","14666","5","9.4"
,,"3","2026-09-19",,,,,"London",,,"2026-09-20","0.6 miles to City centre","68","7888",,"",,"100/51230180","Otherwander Soho","51.515079498291016","-0.13393999636173248","445","2","9.0"
,,"20","2026-09-19",,,,,"London","1",,"2026-09-20","0.2 miles to Trafalgar Square","208","24206",,"Thames and London Eye views, Award-winning One Twenty One Two",,"100/48064","The Royal Horseguards Hotel","51.50605010986328","-0.12414000183343887","19269","4","8.8"
